"","level","Overall","0","1","p","test","Missing"
"efu_lt_inr (median [IQR])","","1.70 [1.50, 2.18]","1.70 [1.70, 1.70]","1.70 [1.50, 2.20]","0.978","nonnorm","71.8"
"efu_90_scr (median [IQR])","","1.51 [1.10, 2.12]","1.49 [1.10, 2.04]","1.54 [1.14, 2.21]","0.696","nonnorm","48.2"
"efu_90_rrt (%)","0","143 (92.3)","80 (95.2)","63 (88.7)","0.227","","29.5"
"","1","12 (7.7)","4 (4.8)","8 (11.3)","","",""
"efu_90_readmit (median [IQR])","","1.00 [0.00, 1.00]","0.00 [0.00, 1.00]","1.00 [0.00, 1.75]","0.005","nonnorm","29.1"
"efu_90lt_scr (median [IQR])","","1.55 [1.19, 2.17]","1.60 [1.60, 1.60]","1.54 [1.18, 2.18]","0.814","nonnorm","73.2"
"efu_90lt_rrt (%)","0","54 (88.5)","3 (100.0)","51 (87.9)","1.000","","72.3"
"","1","7 (11.5)","0 (0.0)","7 (12.1)","","",""
"efu_180_scr (median [IQR])","","1.33 [1.04, 2.13]","1.23 [0.95, 1.83]","1.59 [1.09, 2.20]","0.078","nonnorm","55.9"
"efu_180_rrt (%)","0","140 (95.9)","76 (98.7)","64 (92.8)","0.165","","33.6"
"","1","6 (4.1)","1 (1.3)","5 (7.2)","","",""
"efu_180_readmit (median [IQR])","","1.00 [0.00, 2.00]","0.00 [0.00, 1.25]","1.00 [0.00, 2.00]","0.010","nonnorm","31.4"
"efu_180lt_scr (median [IQR])","","1.50 [1.12, 2.08]","1.20 [1.04, 1.36]","1.50 [1.14, 2.09]","0.310","nonnorm","74.5"
"efu_180lt_rrt (%)","0","56 (91.8)","4 (100.0)","52 (91.2)","1.000","","72.3"
"","1","5 (8.2)","0 (0.0)","5 (8.8)","","",""
"efu_1yr_scr (median [IQR])","","1.40 [1.08, 1.88]","1.31 [1.03, 1.66]","1.41 [1.13, 1.98]","0.159","nonnorm","59.1"
"efu_1yr_rrt (%)","0","133 (95.7)","76 (98.7)","57 (91.9)","0.126","","36.8"
"","1","6 (4.3)","1 (1.3)","5 (8.1)","","",""
"efu_1yr_readmit (median [IQR])","","1.00 [0.00, 3.00]","1.00 [0.00, 2.00]","1.00 [0.00, 3.00]","0.144","nonnorm","34.1"
"efu_1yrlt_scr (median [IQR])","","1.43 [1.20, 1.91]","1.34 [1.27, 1.41]","1.43 [1.20, 1.93]","0.568","nonnorm","76.4"
"efu_1yrlt_rrt (%)","0","55 (94.8)","4 (100.0)","51 (94.4)","1.000","","73.6"
"","1","3 (5.2)","0 (0.0)","3 (5.6)","","",""
