"","level","Overall","0","1","p","test","Missing"
"","1","16 (7.3)","6 (4.4)","10 (11.9)","","",""
"tips_previous_comp (%)","0","201 (91.4)","123 (90.4)","78 (92.9)","0.709","","0.0"
"","1","19 (8.6)","13 (9.6)","6 (7.1)","","",""
"aki_previous_90days (%)","0","124 (57.1)","78 (58.2)","46 (55.4)","0.793","","1.4"
"","1","93 (42.9)","56 (41.8)","37 (44.6)","","",""
"mido_preadmission (%)","0","138 (65.7)","96 (73.3)","42 (53.2)","0.005","","4.5"
"","1","72 (34.3)","35 (26.7)","37 (46.8)","","",""
"oct_before_terli (%)","0","108 (49.3)","63 (46.7)","45 (53.6)","0.393","","0.5"
"","1","111 (50.7)","72 (53.3)","39 (46.4)","","",""
"pressors_aki (%)","0","198 (91.7)","124 (93.9)","74 (88.1)","0.207","","1.8"
"","1","18 (8.3)","8 (6.1)","10 (11.9)","","",""
"admit_meld_3 (median [IQR])","","31.00 [26.75, 36.00]","31.00 [27.00, 36.25]","31.00 [26.00, 36.00]","0.655","nonnorm","0.0"
"day0_meld_3 (median [IQR])","","35.00 [28.00, 39.00]","36.00 [28.00, 40.00]","34.00 [28.00, 39.00]","0.411","nonnorm","22.7"
"baseline_scr_new (median [IQR])","","1.10 [0.87, 1.49]","1.07 [0.80, 1.42]","1.25 [0.92, 1.59]","0.046","nonnorm","0.0"
"baseline_scr (median [IQR])","","1.24 [0.88, 1.73]","1.18 [0.82, 1.68]","1.33 [1.00, 1.78]","0.165","nonnorm","0.5"
"tbili_admit (median [IQR])","","4.75 [2.30, 14.32]","5.55 [2.38, 18.88]","3.55 [2.00, 7.10]","0.035","nonnorm","3.6"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.44, 2.40]","1.78 [1.50, 2.22]","0.817","nonnorm","3.2"
"sodium_admit (median [IQR])","","132.00 [127.00, 135.00]","133.00 [127.50, 135.50]","132.00 [127.00, 135.00]","0.902","nonnorm","4.1"
"albumin_admit (median [IQR])","","3.00 [2.65, 3.60]","2.90 [2.50, 3.50]","3.20 [2.70, 3.80]","0.010","nonnorm","4.1"
"map_day0_avg (median [IQR])","","77.79 [72.65, 82.83]","78.25 [74.17, 83.56]","76.15 [70.98, 81.42]","0.033","nonnorm","0.0"
"aclf_grade (median [IQR])","","2.00 [2.00, 3.00]","2.00 [2.00, 3.00]","2.00 [1.75, 3.00]","0.638","nonnorm","0.0"
"clif_c_score (median [IQR])","","41.05 [36.15, 47.64]","41.27 [36.78, 48.24]","40.54 [35.28, 46.76]","0.145","nonnorm","4.1"
"icu_admit (%)","0","100 (45.7)","61 (45.2)","39 (46.4)","0.968","","0.5"
"","1","119 (54.3)","74 (54.8)","45 (53.6)","","",""
"criteria_1 (%)","0","195 (88.6)","118 (86.8)","77 (91.7)","0.371","","0.0"
"","1","25 (11.4)","18 (13.2)","7 (8.3)","","",""
"criteria_2 (%)","0","129 (58.6)","80 (58.8)","49 (58.3)","1.000","","0.0"
"","1","91 (41.4)","56 (41.2)","35 (41.7)","","",""
"criteria_3 (%)","0","212 (96.4)","129 (94.9)","83 (98.8)","0.249","","0.0"
"","1","8 (3.6)","7 (5.1)","1 (1.2)","","",""
"criteria_4 (%)","0","209 (95.0)","126 (92.6)","83 (98.8)","0.086","","0.0"
"","1","11 (5.0)","10 (7.4)","1 (1.2)","","",""
"terli_route_day0 (%)","1","185 (84.1)","112 (82.4)","73 (86.9)","0.480","","0.0"
"","2","35 (15.9)","24 (17.6)","11 (13.1)","","",""
"Discont_Day (median [IQR])","","3.00 [2.00, 5.25]","3.00 [2.00, 5.00]","4.00 [2.00, 6.00]","0.883","nonnorm","0.0"
"total_albumin (median [IQR])","","50.00 [0.00, 125.00]","50.00 [0.00, 115.62]","75.00 [21.88, 150.00]","0.071","nonnorm","0.0"
"albumin_before_terli (%)","0","20 (9.1)","15 (11.0)","5 (6.0)","0.302","","0.0"
"","1","200 (90.9)","121 (89.0)","79 (94.0)","","",""
"totalalbumin_before_terli (median [IQR])","","225.00 [131.25, 350.00]","225.00 [150.00, 362.50]","200.00 [112.50, 321.25]","0.176","nonnorm","9.5"
"albvolume_before_terli (median [IQR])","","900.00 [600.00, 1500.00]","900.00 [600.00, 1575.00]","800.00 [550.00, 1400.00]","0.449","nonnorm","14.1"
"hrs_responders (%)","0","99 (45.0)","61 (44.9)","38 (45.2)","0.413","","0.0"
"","1","54 (24.5)","37 (27.2)","17 (20.2)","","",""
"","2","67 (30.5)","38 (27.9)","29 (34.5)","","",""
"hrs_responders_cat_2 (%)","0","99 (45.0)","61 (44.9)","38 (45.2)","1.000","","0.0"
"","1","121 (55.0)","75 (55.1)","46 (54.8)","","",""
